event_type,category,event_uid,announced_date,effective_date,publication_ts,scope,index_code,ticker,headline,outcome_numeric,outcome_text,severity,direction,structurally_impairing,source_url,notes
mpc_decision,monetary,CBN-MPC-2011-10-10,2011-10-10,2011-10-10,,market,,,MPC: MPR hike to 12.00%,12.0,hike +275bps,high,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2012-01-31,2012-01-31,2012-01-31,,market,,,MPC: MPR retained at 12.00%,12.0,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2012-03-20,2012-03-20,2012-03-20,,market,,,MPC: MPR retained at 12.00%,12.0,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2012-03-20,2012-03-20,2012-03-20,,market,,,MPC: MPR retained at 12.00%,12.0,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2012-05-22,2012-05-22,2012-05-22,,market,,,MPC: MPR retained at 12.00%,12.0,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2012-07-24,2012-07-24,2012-07-24,,market,,,MPC: MPR retained at 12.00% (CRR 8.00%),12.0,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=8.0
mpc_decision,monetary,CBN-MPC-2012-09-18,2012-09-18,2012-09-18,,market,,,MPC: MPR retained at 12.00% (CRR 12.00%),12.0,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=12.0
mpc_decision,monetary,CBN-MPC-2012-11-20,2012-11-20,2012-11-20,,market,,,MPC: MPR retained at 12.00%,12.0,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2013-01-21,2013-01-21,2013-01-21,,market,,,MPC: MPR retained at 12.00%,12.0,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2013-03-19,2013-03-19,2013-03-19,,market,,,MPC: MPR retained at 12.00%,12.0,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2013-05-21,2013-05-21,2013-05-21,,market,,,MPC: MPR retained at 12.00% (CRR 12.00%),12.0,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=12.0
mpc_decision,monetary,CBN-MPC-2013-07-23,2013-07-23,2013-07-23,,market,,,MPC: MPR retained at 12.00%,12.0,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2013-09-24,2013-09-24,2013-09-24,,market,,,MPC: MPR retained at 12.00% (CRR 50.00%),12.0,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=50.0
mpc_decision,monetary,CBN-MPC-2013-11-19,2013-11-19,2013-11-19,,market,,,MPC: MPR retained at 12.00%,12.0,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
