event_type,event_uid,category,announced_date,effective_date,publication_ts,scope,index_code,ticker,headline,outcome_numeric,outcome_text,severity,direction,structurally_impairing,source_url,notes
fx_regime_change,CBN-FXFLOAT-2016-06-15,macro,2016-06-15,2016-06-20,,market,,,"CBN abolishes dual FX market: flexible inter-bank regime, single market structure, naira floats from June 20",,managed float replaces peg; naira fell ~22% on open,critical,unknown,0,https://www.channelstv.com/2016/06/15/full-text-cbn-governors-speech-on-the-new-forex-framework/,"Verified 2026-07-16: Emefiele press briefing + guidelines 2016-06-15 (Channels TV full text, ThisDay same-day); inter-bank trading began 2016-06-20 (Brookings). Long-duration FX regime catalyst."
dividend_directive,CBN-DIVPOL-2018-01-31,banking,2018-01-31,2018-01-31,,sector,NGXBNK,,"CBN restricts bank dividend payout by CAR/NPL/composite-risk thresholds (BSD/DIR/GEN/LAB/11/002)",,payout capped or barred for weak CAR/NPL banks,medium,unknown,0,"https://www.cbn.gov.ng/out/2018/bsd/letter%20to%20all%20banks%20on%20%20internal%20capital%20generation%20and%20dividend%20payout%20%20dated%20jan%2031,%202018.pdf","Verified 2026-07-16 against CBN letter PDF (primary, dated Jan 31 2018); secondary Mondaq/BusinessPost. NPL>10% or sub-min CAR = no dividend; 5-10% NPL = max 30% payout."
insurance_recapitalisation,NAICOM-RECAP-2019-05-20,insurance,2019-05-20,2020-06-30,,sector,NGXINS,,"NAICOM raises insurer minimum paid-up capital: life 2->8bn, general 3->10bn, composite 5->18bn, reinsurance 10->20bn (NAICOM/DPR/CIR/25/2019)",,compliance deadline initially 2020-06-30,critical,unknown,1,https://www.aluko-oyebode.com/insights/additional-naicom-guidance-on-recapitalization-requirements-for-insurance-companies/,"Verified 2026-07-16: circular dated 2019-05-20 (Aluko & Oyebode client alert; BrandSpur 2019-06-03). Dilution risk for listed insurers -> structurally_impairing=1. Multi-year catalyst; later extended, segmented, and court-suspended."
banking_directive,CBN-LDR-2019-07-03,banking,2019-07-03,2019-09-30,,sector,NGXBNK,,"CBN imposes minimum 60% loan-to-deposit ratio on banks; shortfall penalised via 50% CRR levy",60,min LDR 60% by 2019-09-30,high,unknown,0,https://nairametrics.com/2019/07/03/cbn-increases-banks-loan-to-deposit-ratio-to-a-minimum-of60/,"Verified 2026-07-16: directive dated 2019-07-03 (Nairametrics same-day; BusinessDay analysis). Forced credit expansion - margin/risk effects on banks are the research question."
banking_directive,CBN-LDR65-2019-09-30,banking,2019-09-30,2019-12-31,,sector,NGXBNK,,"CBN raises minimum loan-to-deposit ratio to 65% (supplement to July circular)",65,min LDR raised 60->65% by 2019-12-31,medium,unknown,0,https://www.mondaq.com/nigeria/financial-services/876750/central-bank-of-nigerias-regulatory-measures-to-improve-lending-to-the-real-sector-impact-and-challenges,"Verified 2026-07-16: supplement dated 2019-09-30 (Mondaq review; TheCable). Dec 2019: CBN debited banks N650bn for shortfalls (Vanguard) - enforcement was real."
naicom_directive,NAICOM-RECAP-EXT-2019-12-30,insurance,2019-12-30,2020-12-31,,sector,NGXINS,,"NAICOM extends insurance recapitalisation deadline to 2020-12-31 (NAICOM/DPR/CIR/25-03/2019)",,deadline extension,medium,unknown,0,https://www.mfw4a.org/news/nigeria-recapitalization-naicom-extends-deadline-december-2020,"Verified 2026-07-16: extension circular dated 2019-12-30 (Aluko & Oyebode; MFW4A)."
naicom_directive,NAICOM-RECAP-SEG-2020-06-03,insurance,2020-06-03,2021-09-30,,sector,NGXINS,,"NAICOM segments recapitalisation into two phases: 50% by end-2020, full compliance by Sep 2021 (NAICOM/DPR/CIR/25-Q4/2020)",,phased: 50% by 2020-12-31 then full by 2021-09,medium,unknown,0,https://alliancelawfirm.ng/the-national-insurance-commission-naicom-again-postpones-further-segments-compliance-with-the-recapitalization-of-insurance-companies-in-nigeria-matters-arising-for-the-sector/,"Verified 2026-07-16: segmentation circular dated 2020-06-03 (Alliance Law Firm review). NOTE known gap: exact date of the Dec-2020 court-ordered suspension circular not yet verified - suit FHC/L/CS/1797/2020 filed 2020-12-15; suspension event NOT entered pending primary date."
fx_policy,CBN-BDCBAN-2021-07-27,macro,2021-07-27,2021-07-27,,market,,,"CBN ends weekly FX sales to Bureau De Change operators (~5,500 BDCs, ~$110m/week), channels retail FX to banks",,BDC segment cut off from official FX,high,unknown,0,https://www.channelstv.com/2021/07/27/cbn-announces-end-to-weekly-allocation-sale-of-forex-to-bdcs/,"Verified 2026-07-16: announced at MPC briefing 2021-07-27 (Channels, DailyPost same-day). Widened official-parallel spread era."
energy_policy,NG-PIA-2021-08-16,commodity,2021-08-16,2021-08-16,,sector,NGXOILGAS,,"Petroleum Industry Act signed into law: new legal/fiscal/governance framework for oil & gas after two decades of stalled reform",,PIB becomes PIA,high,unknown,0,https://punchng.com/buhari-signs-petroleum-industry-bill-into-law/,"Verified 2026-07-16: signed 2021-08-16 (Punch breaking; PETAN; Senate passed 2021-07-15). Multi-year structural catalyst for NGXOILGAS."
fuel_subsidy_change,NG-SUBSIDY-2023-05-29,commodity,2023-05-29,2023-05-29,,sector,NGXOILGAS,,"'Fuel subsidy is gone' - petrol subsidy removal declared in presidential inauguration speech; pump prices repriced within days",,downstream deregulation begins,critical,unknown,0,https://www.channelstv.com/2023/05/29/breaking-fuel-subsidy-is-gone-president-tinubu-declares-in-inaugural-speech/,"Verified 2026-07-16: declared 2023-05-29 (Channels same-day). Two weeks before the 2023-06-14 FX unification (already in DB) - the two 2023 shocks bracket the regime change."
