event_type,category,announced_date,effective_date,publication_ts,scope,index_code,ticker,headline,outcome_numeric,outcome_text,severity,direction,structurally_impairing,source_url,notes
mpc_decision,monetary,2024-02-27,2024-02-27,,market,,,"Central Bank of Nigeria Communique No.150 of the 293rd Meeting of Monetary Policy Committee held on 27th of February 27, 2024",,,high,unknown,0,https://www.cbn.gov.ng/Out/2024/CCD/MPC%20Communique%20No%20150%20of%20the%20CBN%20Feb%202024.pdf,"refNo=CBN/MPC/COM/150/293; documentDate=27/02/2024; meeting end date parsed from title; MPR level pending PDF extraction (unknown, not guessed)"
mpc_decision,monetary,2024-03-26,2024-03-26,,market,,,"Central Bank of Nigeria Communique No.151 of the 294th Meeting of Monetary Policy Committee held on Tuesday, 26th March, 2024",,,high,unknown,0,https://www.cbn.gov.ng/Out/2024/CCD/UPDATE%20DDG%20EP%20MPC%20Communique%20No.%20151%20March%202024.pdf,"refNo=CBN/MPC/COM/151/294; documentDate=26/03/2024; meeting end date parsed from title; MPR level pending PDF extraction (unknown, not guessed)"
mpc_decision,monetary,2024-09-24,2024-09-24,,market,,,"Central Bank of Nigeria Communique No.154 of the 297th Meeting of Monetary Policy Committee held on Tuesday, 24th September, 2024",,,high,unknown,0,https://www.cbn.gov.ng/Out/2024/CCD/FINAL%20MPC%20Communique%20No.%20154%20September%2024%202024%20.pdf,"refNo=CBN/MPC/COM/154/297; documentDate=24/09/2024; meeting end date parsed from title; MPR level pending PDF extraction (unknown, not guessed)"
mpc_decision,monetary,2024-11-26,2024-11-26,,market,,,"Central Bank of Nigeria Communique No.155 of the 298th Meeting of Monetary Policy Committee held on Tuesday, 26th November 2024",,,high,unknown,0,https://www.cbn.gov.ng/Out/2024/CCD/FINAL%20MPC%20Communique%20No.%20155%20November%2026%202024%2015.08pm.pdf,"refNo=CBN/MPC/COM/155/298; documentDate=26/11/2024; meeting end date parsed from title; MPR level pending PDF extraction (unknown, not guessed)"
mpc_decision,monetary,2025-02-20,2025-02-20,,market,,,"Central Bank of Nigeria Communique No.156 of 299th Meeting of Monetary Policy Committee held on Thursday,20 February 2025",,,high,unknown,0,https://www.cbn.gov.ng/Out/2025/CCD/Central_Bank_of_Nigeria_Comminique_No.156_20_February_2025.pdf,"refNo=CBN/MPC/COM/156/299; documentDate=20/02/2025; meeting end date parsed from title; MPR level pending PDF extraction (unknown, not guessed)"
mpc_decision,monetary,2025-07-22,2025-07-22,,market,,,"Central Bank of Nigeria Communique No.158 of the 301st Meeting of Monetary Policy Committee held on Tuesday, 22nd July 2025",,,high,unknown,0,https://www.cbn.gov.ng/Out/2025/CCD/MPC%20Communique%20No.%20158%20July%2022%202025.pdf,"refNo=CBN/MPC/COM/158/301 ; documentDate=22/07/2025; meeting end date parsed from title; MPR level pending PDF extraction (unknown, not guessed)"
mpc_decision,monetary,2025-09-23,2025-09-23,,market,,,"Central Bank of Nigeria Communique No.159 of the 302nd Meeting of Monetary Policy Committee held on Tuesday, 23rd September 2025",,,high,unknown,0,https://www.cbn.gov.ng/Out/2025/CCD/Final%20MPC%20Communique%20No.%20159%20September%2023%202025.pdf,"refNo=CBN/MPC/COM/159/302; documentDate=23/09/2025; meeting end date parsed from title; MPR level pending PDF extraction (unknown, not guessed)"
mpc_decision,monetary,2025-11-25,2025-11-25,,market,,,"Central Bank of Nigeria Communique No.160 of the 303rd Meeting of Monetary Policy Committee held on Tuesday, 25th November 2025",,,high,unknown,0,https://www.cbn.gov.ng/Out/2025/CCD/MPC%20Communique%20No.%20160%20%20November%2025%202025.pdf,"refNo=CBN/MPC/COM/160/303; documentDate=25/11/2025; meeting end date parsed from title; MPR level pending PDF extraction (unknown, not guessed)"
mpc_decision,monetary,2026-02-24,2026-02-24,,market,,,"Central Bank of Nigeria Communique No.161 of the 304th Meeting of Monetary Policy Committee held on Tuesday, 24th February 2026",,,high,unknown,0,https://www.cbn.gov.ng/Out/2026/CCD/MPC%20Communique%20No.%20161%20%20February%2024%202026%20.pdf,"refNo=CBN/MPC/COM/161/304; documentDate=24/02/2026; meeting end date parsed from title; MPR level pending PDF extraction (unknown, not guessed)"
mpc_decision,monetary,2026-05-20,2026-05-20,,market,,,Central Bank of Nigeria Communique No.162 of the 305th Meeting of Monetary Policy Committee held on May 19th and 20th May 2026,,,high,unknown,0,https://www.cbn.gov.ng/Out/2026/CCD/MPC%20Communique%20No.%20162%20May%2020%202026_Final.pdf,"refNo=CBN/MPC/COM/162/305; documentDate=20/05/2026; meeting end date parsed from title; MPR level pending PDF extraction (unknown, not guessed)"
