decision_date,mpr_pct,meeting_label,confidence,source,source_url,retrieved_date
2015-07-23,13.00,Jul 22-23 2015,verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2015-09-23,13.00,Sep 21-23 2015,verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2015-11-24,11.00,Nov 23-24 2015,verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2016-01-26,11.00,Jan 25-26 2016,verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2016-03-22,12.00,Mar 21-22 2016,verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2016-07-26,14.00,Jul 25-26 2016,verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2017-11-22,14.00,Nov 21-22 2017,verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2018-04-04,14.00,Apr 3-4 2018,verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2018-05-22,14.00,May 21-22 2018,verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2018-07-24,14.00,Jul 23-24 2018,verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2018-09-25,14.00,Sep 24-25 2018,verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2018-11-22,14.00,Nov 21-22 2018,verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2019-01-22,14.00,Jan 21-22 2019,verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2019-03-26,13.50,Mar 25-26 2019,verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2019-05-21,13.50,May 20-21 2019,verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2019-07-23,13.50,Jul 22-23 2019,verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2019-09-20,13.50,Sep 19-20 2019,verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2019-11-26,13.50,Nov 25-26 2019,verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2020-01-24,13.50,Jan 23-24 2020,verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2020-03-24,13.50,Mar 23-24 2020,verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2020-05-28,12.50,May 28 2020,verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2020-09-22,11.50,Sep 21-22 2020,verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2020-11-24,11.50,Nov 23-24 2020,verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2021-01-26,11.50,Jan 25-26 2021,verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2021-03-23,11.50,Mar 22-23 2021,verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2021-05-25,11.50,May 24-25 2021,verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2021-07-27,11.50,Jul 26-27 2021,verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2021-09-17,11.50,Sep 16-17 2021,verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2021-11-23,11.50,Nov 22-23 2021,verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2022-01-22,11.50,Jan 21-22 2022,verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2022-03-22,11.50,Mar 21-22 2022,verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2022-05-24,13.00,May 23-24 2022 (285th meeting),verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2022-07-19,14.00,Jul 18-19 2022 (286th meeting),verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2022-09-27,15.50,Sep 26-27 2022 (287th meeting),verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2022-11-22,16.50,Nov 21-22 2022 (288th meeting),verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2023-01-24,17.50,Jan 23-24 2023,verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2023-03-21,18.00,Mar 20-21 2023,verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2023-05-24,18.50,May 23-24 2023,verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2023-07-25,18.75,Jul 24-25 2023 (292nd meeting),verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2024-02-27,22.75,Feb 26-27 2024,verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2024-03-26,24.75,Mar 25-26 2024,verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2024-05-21,26.25,May 20-21 2024 (295th meeting),verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2024-07-23,26.75,Jul 22-23 2024 (296th meeting),verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2024-09-24,27.25,Sep 23-24 2024 (297th meeting),verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2025-02-20,27.50,Feb 19-20 2025,verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2025-07-22,27.50,Jul 21-22 2025,verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2025-09-23,27.00,Sep 22-23 2025 (302nd meeting),verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2026-02-24,26.50,Feb 23-24 2026,verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2026-05-20,26.50,May 19-20 2026,verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
2026-07-21,26.50,Jul 20-21 2026,verified,CBN MPC decisions page,https://www.cbn.gov.ng/MonetaryPolicy/decisions.html,2026-08-02
