trade_date,symbol,pclose,close,pct_change
2014-06-30,7UP,93.0,93.0,
2014-06-30,ABCTRANS,0.94,0.9,-4.26
2014-06-30,ACADEMY,1.71,1.71,
2014-06-30,ACCESS,9.7,9.55,-1.55
2014-06-30,AFRIPRUD,3.25,3.25,-0.31
2014-06-30,AFROMEDIA,0.5,0.5,
2014-06-30,AFRPAINTS,2.72,2.72,
2014-06-30,AGLEVENT,1.44,1.37,-4.86
2014-06-30,AIICO,0.84,0.81,-3.57
2014-06-30,AIRSERVICE,2.45,2.34,-4.49
2014-06-30,ASHAKACEM,29.0,28.51,-1.69
2014-06-30,AVONCROWN,1.77,1.69,-4.52
2014-06-30,BECOPETRO,0.5,0.5,
2014-06-30,BERGER,9.0,9.0,
2014-06-30,BOCGAS,5.76,5.76,
2014-06-30,CADBURY,81.89,80.0,-2.31
2014-06-30,CAP,40.0,40.0,
2014-06-30,CAVERTON,6.56,6.24,-4.88
2014-06-30,CCNN,11.14,11.21,0.63
2014-06-30,CHAMPION,10.17,10.17,
2014-06-30,CHAMS,0.5,0.5,
2014-06-30,CHELLARAM,3.95,3.95,
2014-06-30,CILEASING,0.52,0.5,-3.85
2014-06-30,CONOIL,65.4,65.4,
2014-06-30,CONTINSURE,1.09,1.06,-2.75
2014-06-30,COSTAIN,1.35,1.37,1.48
2014-06-30,COURTVILLE,0.59,0.58,-1.69
2014-06-30,CUSTODYINS,3.6,3.7,2.78
2014-06-30,CUTIX,1.83,1.83,
2014-06-30,CWG,5.0,5.0,
2014-06-30,DANGCEM,240.0,240.0,-0.83
2014-06-30,DANGFLOUR,8.1,8.2,1.23
2014-06-30,DANGSUGAR,9.4,9.49,0.96
2014-06-30,DIAMONDBNK,6.3,6.4,1.59
2014-06-30,DNMEYER,1.11,1.11,
2014-06-30,DUNLOP,0.5,0.5,
2014-06-30,ELLAHLAKES,4.26,4.26,
2014-06-30,EQUITYASUR,0.5,0.5,
2014-06-30,ETERNA,4.77,4.55,-4.61
2014-06-30,ETI,16.24,16.89,4.0
2014-06-30,EVANSMED,2.4,2.4,
2014-06-30,FBNH,15.6,15.6,0.06
2014-06-30,FCMB,4.2,4.2,0.48
2014-06-30,FIDELITYBK,2.04,2.07,1.47
2014-06-30,FIDSON,3.1,3.02,-2.58
2014-06-30,FLOURMILL,78.0,78.0,
2014-06-30,FO,206.3,206.3,
2014-06-30,FTNCOCOA,0.5,0.5,
2014-06-30,GLAXOSMITH,65.0,64.0,-1.54
2014-06-30,GUARANTY,29.02,28.95,-0.24
2014-06-30,GUINNESS,200.0,200.0,-5.0
2014-06-30,HMARKINS,0.5,0.5,
2014-06-30,HONYFLOUR,4.02,4.0,-0.5
2014-06-30,IKEJAHOTEL,0.83,0.82,-1.2
2014-06-30,INFINITY,1.61,1.61,
2014-06-30,INTBREW,26.7,26.7,
2014-06-30,INTENEGINS,0.5,0.5,2.0
2014-06-30,JAPAULOIL,0.66,0.6,-9.09
2014-06-30,JBERGER,76.45,76.45,
2014-06-30,JOSBREW,2.58,2.58,
2014-06-30,LEARNAFRCA,1.57,1.5,-4.46
2014-06-30,LIVESTOCK,3.1,3.19,2.9
2014-06-30,MANSARD,2.5,2.62,4.8
2014-06-30,MAYBAKER,1.78,1.75,-1.69
2014-06-30,MBENEFIT,0.54,0.52,-3.7
2014-06-30,MOBIL,131.0,137.55,5.0
2014-06-30,MRS,70.0,70.0,
2014-06-30,NAHCO,4.99,4.85,-2.81
2014-06-30,NASCON,11.4,11.0,-3.51
2014-06-30,NB,172.0,171.99,-0.01
2014-06-30,NEIMETH,1.26,1.26,
2014-06-30,NEM,0.85,0.85,1.18
2014-06-30,NESTLE,1098.9,1150.0,4.65
2014-06-30,NIGERINS,0.5,0.5,
2014-06-30,NIWICABLE,0.5,0.5,
2014-06-30,NNFM,19.75,19.75,
2014-06-30,NPFMCRFBK,0.85,0.81,-4.71
2014-06-30,OANDO,27.36,29.25,6.91
2014-06-30,OASISINS,0.53,0.52,-1.89
2014-06-30,OKOMUOIL,33.9,33.9,
2014-06-30,OMATEK,0.5,0.5,
2014-06-30,PORTPAINT,5.14,5.39,4.86
2014-06-30,PREMBREW,0.77,0.77,
2014-06-30,PRESCO,36.0,35.01,-2.75
2014-06-30,PRESTIGE,0.53,0.52,-1.89
2014-06-30,PZ,36.0,37.4,3.89
2014-06-30,REDSTAREX,5.17,5.01,-3.09
2014-06-30,ROYALEX,0.53,0.53,
2014-06-30,RTBRISCOE,1.03,1.0,-2.91
2014-06-30,SEPLAT,675.1,700.0,3.69
2014-06-30,SKYEBANK,3.3,3.3,0.61
2014-06-30,SOVRENINS,0.5,0.5,
2014-06-30,STANBIC,26.0,26.0,
2014-06-30,STERLNBANK,2.3,2.35,2.17
2014-06-30,TOTAL,171.05,179.6,5.0
2014-06-30,TRANSCORP,4.74,5.05,6.54
2014-06-30,TRANSEXPR,2.07,2.07,
2014-06-30,UACN,62.06,62.0,-0.1
2014-06-30,UAC-PROP,17.6,17.6,
2014-06-30,UBA,7.81,7.7,-1.41
2014-06-30,UBCAP,2.34,2.32,-0.85
2014-06-30,UBN,9.97,9.97,
2014-06-30,UNILEVER,52.4,54.0,3.05
2014-06-30,UNITYBNK,0.5,0.5,
2014-06-30,UPL,4.47,4.69,4.92
2014-06-30,UTC,0.5,0.5,
2014-06-30,VITAFOAM,4.44,4.4,-0.9
2014-06-30,WAPCO,111.4,111.0,-0.36
2014-06-30,WAPIC,0.8,0.8,2.5
2014-06-30,WEMABANK,0.98,0.99,1.02
2014-06-30,ZENITHBANK,25.0,25.05,0.2
2014-07-01,7UP,93.0,102.53,10.25
2014-07-01,ABCTRANS,0.9,0.88,-2.22
2014-07-01,ACADEMY,1.71,1.71,
2014-07-01,ACCESS,9.55,9.8,2.62
2014-07-01,AFRIPRUD,3.25,3.35,3.08
2014-07-01,AFRPAINTS,2.72,2.72,
2014-07-01,AGLEVENT,1.37,1.31,-4.38
2014-07-01,AIICO,0.81,0.81,
2014-07-01,AIRSERVICE,2.34,2.45,4.7
2014-07-01,ALUMACO,7.75,7.75,
2014-07-01,ARBICO,5.3,5.3,
2014-07-01,ASHAKACEM,28.51,29.0,1.72
2014-07-01,AVONCROWN,1.69,1.69,
2014-07-01,BERGER,9.0,9.0,
2014-07-01,BOCGAS,5.76,5.76,
2014-07-01,CADBURY,80.0,80.0,
2014-07-01,CAP,40.0,40.0,
2014-07-01,CAVERTON,6.24,5.64,-9.62
2014-07-01,CCNN,11.21,11.21,
2014-07-01,CHAMPION,10.17,10.17,
2014-07-01,CHELLARAM,3.95,3.95,
2014-07-01,CILEASING,0.5,0.5,
2014-07-01,CONOIL,65.4,65.4,
2014-07-01,CONTINSURE,1.06,1.09,2.83
2014-07-01,COSTAIN,1.37,1.4,2.19
2014-07-01,COURTVILLE,0.58,0.59,1.72
2014-07-01,CUSTODYINS,3.7,3.74,1.08
2014-07-01,CUTIX,1.83,1.83,
2014-07-01,CWG,5.0,5.0,
2014-07-01,DANGCEM,240.0,240.0,
2014-07-01,DANGFLOUR,8.2,8.2,
2014-07-01,DANGSUGAR,9.49,9.5,0.11
2014-07-01,DIAMONDBNK,6.4,6.4,-1.25
2014-07-01,DNMEYER,1.11,1.11,
2014-07-01,EKOCORP,3.72,3.72,
2014-07-01,ETERNA,4.55,4.33,-4.84
2014-07-01,ETI,16.89,16.49,-2.37
2014-07-01,ETRANZACT,2.21,2.21,
2014-07-01,EVANSMED,2.4,2.4,
2014-07-01,FBNH,15.6,15.95,2.24
2014-07-01,FCMB,4.2,4.3,2.38
2014-07-01,FIDELITYBK,2.07,2.04,-1.45
2014-07-01,FIDSON,3.02,3.0,-0.66
2014-07-01,FLOURMILL,78.0,78.0,
2014-07-01,FO,206.3,200.0,-3.05
2014-07-01,GLAXOSMITH,64.0,64.0,
2014-07-01,GUARANTY,28.95,28.76,-0.66
2014-07-01,GUINNESS,200.0,198.0,-1.0
2014-07-01,HMARKINS,0.5,0.5,
2014-07-01,HONYFLOUR,4.0,4.0,0.25
2014-07-01,IKEJAHOTEL,0.82,0.82,
2014-07-01,INFINITY,1.61,1.61,
2014-07-01,INTBREW,26.7,28.0,4.87
2014-07-01,INTENEGINS,0.5,0.5,
2014-07-01,JAPAULOIL,0.6,0.57,-5.0
2014-07-01,JBERGER,76.45,76.45,
2014-07-01,JOHNHOLT,1.15,1.15,
2014-07-01,LEARNAFRCA,1.5,1.5,
2014-07-01,LIVESTOCK,3.19,3.07,-3.76
2014-07-01,MANSARD,2.62,2.57,-1.91
2014-07-01,MAYBAKER,1.75,1.75,
2014-07-01,MBENEFIT,0.52,0.52,-3.85
2014-07-01,MCNICHOLS,1.34,1.34,
2014-07-01,MOBIL,137.55,137.0,-0.4
2014-07-01,MRS,70.0,63.18,-9.74
2014-07-01,MULTIVERSE,0.5,0.5,
2014-07-01,NAHCO,4.85,4.9,1.03
2014-07-01,NASCON,11.0,11.05,0.45
2014-07-01,NB,171.99,172.11,0.07
2014-07-01,NEIMETH,1.26,1.32,4.76
2014-07-01,NEM,0.85,0.88,3.53
2014-07-01,NESTLE,1150.0,1150.0,
2014-07-01,NIGERINS,0.5,0.5,
2014-07-01,NIGROPES,7.46,7.46,
2014-07-01,NNFM,19.75,19.75,
2014-07-01,NPFMCRFBK,0.81,0.77,-4.94
2014-07-01,OANDO,29.25,28.5,-2.56
2014-07-01,OASISINS,0.52,0.5,-3.85
2014-07-01,OKOMUOIL,33.9,33.9,
2014-07-01,PHARMDEKO,1.5,1.5,
2014-07-01,PORTPAINT,5.39,5.39,
2014-07-01,PRESCO,35.01,36.1,3.11
2014-07-01,PRESTIGE,0.52,0.52,
2014-07-01,PZ,37.4,37.4,
2014-07-01,REDSTAREX,5.01,5.1,1.8
2014-07-01,RESORTSAL,0.5,0.5,
2014-07-01,ROYALEX,0.53,0.51,-3.77
2014-07-01,RTBRISCOE,1.0,1.0,
2014-07-01,SEPLAT,700.0,700.0,
2014-07-01,SKYEBANK,3.3,3.33,0.91
2014-07-01,SOVRENINS,0.5,0.5,
2014-07-01,STACO,0.5,0.5,
2014-07-01,STANBIC,26.0,26.45,1.73
2014-07-01,STERLNBANK,2.35,2.33,-0.85
2014-07-01,TOTAL,179.6,179.6,
2014-07-01,TRANSCORP,5.05,5.2,2.97
2014-07-01,TRANSEXPR,2.07,2.07,
2014-07-01,UACN,62.0,65.1,5.0
2014-07-01,UAC-PROP,17.6,17.56,-0.23
2014-07-01,UBA,7.7,8.05,4.55
2014-07-01,UBCAP,2.32,2.31,-0.43
2014-07-01,UBN,9.97,10.0,0.3
2014-07-01,UNIC,0.5,0.5,
2014-07-01,UNILEVER,54.0,54.0,
2014-07-01,UNIONDAC,0.5,0.5,
2014-07-01,UNITYBNK,0.5,0.5,
2014-07-01,UPDCREIT,10.47,10.47,
2014-07-01,UPL,4.69,4.69,
2014-07-01,UTC,0.5,0.5,
2014-07-01,VITAFOAM,4.4,4.28,-2.73
2014-07-01,VONO,1.44,1.44,
2014-07-01,WAPCO,111.0,112.01,0.91
2014-07-01,WAPIC,0.8,0.79,-1.25
2014-07-01,WEMABANK,0.99,0.95,-4.04
2014-07-01,ZENITHBANK,25.05,25.5,1.8
2014-07-02,7UP,102.53,102.53,
2014-07-02,ABBEYBDS,1.3,1.3,
2014-07-02,ABCTRANS,0.88,0.9,2.27
2014-07-02,ACADEMY,1.71,1.71,
2014-07-02,ACCESS,9.8,9.71,-0.92
2014-07-02,AFRIPRUD,3.35,3.27,-2.39
2014-07-02,AFROMEDIA,0.5,0.5,
2014-07-02,AGLEVENT,1.31,1.31,
2014-07-02,AIICO,0.81,0.81,1.23
2014-07-02,AIRSERVICE,2.45,2.45,
2014-07-02,ASHAKACEM,29.0,28.65,-1.21
2014-07-02,ASOSAVINGS,0.5,0.5,
2014-07-02,BERGER,9.0,9.0,
2014-07-02,BETAGLAS,16.59,16.59,
