ticker,sector,mcap_rank_in_iru,adtv_2026ytd,n_docs,n_textdocs,n_full_FS_periods
CAVERTON,SERVICES,86,15744744.637692308,2,2,0
CILEASING,SERVICES,85,20737412.494615387,59,51,0
CUTIX,INDUSTRIAL GOODS,81,29151821.721384615,111,80,0
DEAPCAP,FINANCIAL SERVICES,95,68351234.70704348,26,11,0
LASACO,FINANCIAL SERVICES,79,26235424.88653846,53,35,1
LEGENDINT,ICT,91,16920457.153153844,10,10,0
MCNICHOLS,,96,26761689.16669231,56,11,0
NCR,ICT,84,9494703.523846153,61,48,0
NSLTECH,SERVICES,94,23574213.671538465,25,9,0
OMATEK,ICT,93,12317698.452692308,19,17,0
PRESTIGE,FINANCIAL SERVICES,82,5129746.270846155,101,52,0
REDSTAREX,SERVICES,83,19145616.386923075,59,10,0
REGALINS,FINANCIAL SERVICES,89,8587503.307153847,74,18,0
ROYALEX,FINANCIAL SERVICES,90,9205694.51146154,68,23,0
RTBRISCOE,SERVICES,88,28512505.758923076,37,11,0
SUNUASSUR,FINANCIAL SERVICES,80,5926291.6523846155,101,20,0
TANTALIZER,SERVICES,77,64978110.69515385,22,16,0
UNIVINSURE,FINANCIAL SERVICES,87,17308016.95246154,37,7,0
VERITASKAP,FINANCIAL SERVICES,78,35455042.08738461,40,35,0
WAPIC,FINANCIAL SERVICES,92,14191267.683846155,52,27,0
