old_symbol,new_symbol,old_last,new_first,gap_days,close_old,close_new,status,evidence
FO,ARDOVA,2020-02-21,2020-02-24,1,16.7,16.7,verified,2019 rename Forte Oil -> Ardova
GUARANTY,GTCO,2021-06-17,2021-06-24,5,28.55,29.0,verified,2021 holdco restructuring
ACCESS,ACCESSCORP,2022-03-23,2022-03-28,3,9.95,10.25,verified,2022 holdco restructuring
FBNH,FIRSTHOLDCO,2025-03-04,2025-03-10,4,28.25,28.5,verified,2025 rename
OASISINS,AFRINSURE,2014-07-03,2014-07-14,2,0.5,0.5,candidate,price/timing continuity detection — verify before use
OASISINS,CAPOIL,2014-07-03,2014-07-16,4,0.5,0.5,candidate,price/timing continuity detection — verify before use
OASISINS,FIRSTALUM,2014-07-03,2014-07-16,4,0.5,0.5,candidate,price/timing continuity detection — verify before use
OASISINS,GNI,2014-07-03,2014-07-14,2,0.5,0.5,candidate,price/timing continuity detection — verify before use
OASISINS,LINKASSURE,2014-07-03,2014-07-14,2,0.5,0.5,candidate,price/timing continuity detection — verify before use
OASISINS,MTI,2014-07-03,2014-07-11,1,0.5,0.5,candidate,price/timing continuity detection — verify before use
OASISINS,MULTITREX,2014-07-03,2014-07-21,7,0.5,0.5,candidate,price/timing continuity detection — verify before use
OASISINS,TANTALIZER,2014-07-03,2014-07-11,1,0.5,0.5,candidate,price/timing continuity detection — verify before use
OASISINS,UNHOMES,2014-07-03,2014-07-14,2,0.5,0.5,candidate,price/timing continuity detection — verify before use
UBCAP,UCAP,2015-11-20,2015-11-23,1,1.31,1.31,candidate,price/timing continuity detection — verify before use
DNMEYER,INITSPLC,2016-10-20,2016-10-25,3,0.91,0.89,candidate,price/timing continuity detection — verify before use
DNMEYER,MEYER,2016-10-20,2016-10-31,7,0.91,0.83,candidate,price/timing continuity detection — verify before use
OMOSAVBNK,OMOMORBNK,2017-01-17,2017-02-08,15,0.9,0.9,candidate,price/timing continuity detection — verify before use
CUSTODYINS,CUSTODIAN,2017-12-08,2017-12-11,1,3.93,3.93,candidate,price/timing continuity detection — verify before use
7UP,FGS2020S9,2018-01-11,2018-01-30,13,101.97,100.0,candidate,price/timing continuity detection — verify before use
FGS2020S9,FGS2019S2,2018-01-30,2018-02-06,5,100.0,85.0,candidate,price/timing continuity detection — verify before use
UNITYKAP,VERITASKAP,2018-04-13,2018-04-18,3,0.25,0.25,candidate,price/timing continuity detection — verify before use
FGS201912,NOTORE,2018-07-30,2018-08-02,3,50.0,62.5,candidate,price/timing continuity detection — verify before use
EQUITYASUR,SUNUASSUR,2018-08-17,2018-08-20,1,0.2,0.2,candidate,price/timing continuity detection — verify before use
MULTITREX,CHIPLC,2018-10-11,2018-10-29,12,0.36,0.33,candidate,price/timing continuity detection — verify before use
HMARKINS,CHIPLC,2018-10-26,2018-10-29,1,0.3,0.33,candidate,price/timing continuity detection — verify before use
FGS2020S3,FGS2020S7,2018-10-31,2018-11-01,1,95.0,100.0,candidate,price/timing continuity detection — verify before use
FGS2020S5,FFFBNMMF,2019-04-23,2019-04-30,5,84.0,100.0,candidate,price/timing continuity detection — verify before use
FFFBNMMF,FGS202129,2019-11-08,2019-11-22,9,100.0,79.35,candidate,price/timing continuity detection — verify before use
FFFBNMMF,FGSUK2024S1,2019-11-08,2019-11-14,3,100.0,106.0,candidate,price/timing continuity detection — verify before use
FGS202162,FGSUK2024S1,2019-11-08,2019-11-14,3,120.0,106.0,candidate,price/timing continuity detection — verify before use
SKYESHELT,SFSREIT,2020-01-29,2020-02-20,15,85.5,76.95,candidate,price/timing continuity detection — verify before use
VALUEFUND,FG132021S3,2020-08-12,2020-08-18,4,115.05,105.0,candidate,price/timing continuity detection — verify before use
JAPAULOIL,JAPAULGOLD,2020-12-11,2020-12-14,1,0.25,0.25,candidate,price/timing continuity detection — verify before use
UAC-PROP,UPDC,2021-07-08,2021-07-12,1,1.15,1.3,candidate,price/timing continuity detection — verify before use
BOCGAS,IMG,2021-12-07,2021-12-15,6,9.45,9.45,candidate,price/timing continuity detection — verify before use
STERLNBANK,STERLINGNG,2023-03-29,2023-04-06,4,1.6,1.48,candidate,price/timing continuity detection — verify before use
FGS202518,NIDF,2023-09-13,2023-10-05,12,100.0,108.4,candidate,price/timing continuity detection — verify before use
CHIPLC,CONHALLPLC,2023-11-17,2023-11-27,4,1.09,1.09,candidate,price/timing continuity detection — verify before use
FGS202520,FG162029S1,2024-01-15,2024-01-26,9,100.0,100.0,candidate,price/timing continuity detection — verify before use
FGS202520,FGS202543,2024-01-15,2024-01-17,2,100.0,100.0,candidate,price/timing continuity detection — verify before use
FGS202543,FG162029S1,2024-01-18,2024-01-26,6,100.0,100.0,candidate,price/timing continuity detection — verify before use
FLOURMILL,FGS202669,2024-12-13,2024-12-16,1,81.8,100.0,candidate,price/timing continuity detection — verify before use
FGS202766,FGS202667,2025-01-30,2025-02-04,3,95.0,105.0,candidate,price/timing continuity detection — verify before use
FGS202667,FGS202758,2025-02-07,2025-02-10,1,78.0,70.0,candidate,price/timing continuity detection — verify before use
FBNH,FirstHoldCo,2025-03-04,2025-03-06,2,28.25,29.5,candidate,price/timing continuity detection — verify before use
