ticker,first_observation,last_observation,years_observed,calendar_year_gaps,observations,current_security_present,canonical_instrument_id,canonical_mapping_status
7UP,2014-06-30,2018-01-11,5,0,1666,True,01a054a7-4be0-7517-a1dd-8d20877b4096,unique_current_alias
ABBEYBANK,2026-06-29,2026-08-07,1,0,45,True,01a054a7-4be1-73ea-9b27-328d553f5b1d,unique_current_alias
ABBEYBDS,2014-07-02,2026-06-26,13,0,2475,True,01a054a7-4be1-7b53-aba7-a55ac4c04a72,unique_current_alias
ABCTRANS,2014-06-30,2026-08-07,13,0,4585,True,01a054a7-4be1-708b-b245-25caa897511a,unique_current_alias
ACADEMY,2014-06-30,2026-08-07,13,0,3963,True,01a054a7-4be1-77a5-b59d-89f58ebc613f,unique_current_alias
ACCESS,2014-06-30,2022-03-23,9,0,3708,True,01a054a7-4be1-7014-b34c-a0d3d694194b,unique_current_alias
ACCESSCORP,2022-03-28,2026-08-07,5,0,2007,True,01a054a7-4be1-7b1e-bd60-7900da0b3394,unique_current_alias
AFRIK,2015-09-03,2015-09-16,1,0,4,True,01a054a7-4be1-775c-aeba-aae445617485,unique_current_alias
AFRINSURE,2014-07-14,2022-06-30,9,0,988,True,01a054a7-4be1-7d53-aef6-cdb3866a15ee,unique_current_alias
AFRIPRUD,2014-06-30,2026-08-07,13,0,5712,True,01a054a7-4be1-72a1-bd9b-ae076d8fd0a1,unique_current_alias
AFROMEDIA,2014-06-30,2023-07-10,10,0,840,True,01a054a7-4be1-7ffb-a7a7-a10fadfda890,unique_current_alias
AFRPAINTS,2014-06-30,2017-05-26,4,0,118,True,01a054a7-4be1-7634-8ee6-0b360dca9d24,unique_current_alias
AGLEVENT,2014-06-30,2019-12-24,6,0,2220,True,01a054a7-4be1-79d7-9ce8-ea5614262782,unique_current_alias
AIICO,2014-06-30,2026-08-07,13,0,5712,True,01a054a7-4be1-7347-9dcf-dd2e0cd3803a,unique_current_alias
AIRSERVICE,2014-06-30,2019-02-26,6,0,2023,True,01a054a7-4be1-7cf4-a8ad-5e74f758895f,unique_current_alias
AIRTELAFRI,2019-07-09,2026-08-07,8,0,3248,True,01a054a7-4be1-74f3-a72c-8513e8717278,unique_current_alias
ALEX,2014-07-30,2026-07-21,13,0,1948,True,01a054a7-4be1-751d-8b9b-22c022dcce28,unique_current_alias
ALUMACO,2014-07-01,2016-04-25,3,0,123,True,01a054a7-4be1-7b3d-aa76-e3c5d3999451,unique_current_alias
ANINO,2014-08-15,2014-11-20,1,0,14,True,01a054a7-4be2-729f-97f1-c75663e82882,unique_current_alias
ARADEL,2024-10-14,2026-08-07,3,0,861,True,01a054a7-4be2-7a67-8672-b791afcf42d6,unique_current_alias
ARBICO,2014-07-01,2024-04-16,11,0,426,True,01a054a7-4be2-7bb8-919b-ae294e05a26f,unique_current_alias
ARDOVA,2020-02-24,2023-07-10,4,0,1587,True,01a054a7-4be2-70c4-8847-3bf0a7619c8d,unique_current_alias
ASHAKACEM,2014-06-30,2017-07-03,4,0,1380,True,01a054a7-4be2-7298-9a5d-cbb2ad86c961,unique_current_alias
ASOSAVINGS,2014-07-02,2025-11-18,5,7,297,True,01a054a7-4be2-70a1-aed3-a4c95fe7ef52,unique_current_alias
AUSTINLAZ,2014-07-11,2026-08-07,12,1,1185,True,01a054a7-4be2-757e-82c6-95d2d1c1fc19,unique_current_alias
AVACAP,2026-07-31,2026-08-07,1,0,5,True,01a054a7-4be2-7ecc-a157-042183859a4d,unique_current_alias
AVAIF,2024-05-10,2026-02-19,2,1,15,True,01a054a7-4be2-74f2-a90a-ab409e98da84,unique_current_alias
AVONCROWN,2014-06-30,2017-08-30,4,0,426,True,01a054a7-4be2-7fa8-b04a-ce53d08130d4,unique_current_alias
BECOPETRO,2014-06-30,2017-04-20,4,0,228,True,01a054a7-4be2-7ec0-89b2-d7f6cf2b95d9,unique_current_alias
BERGER,2014-06-30,2026-08-07,13,0,5619,True,01a054a7-4be2-7cff-99bc-677c279d80b7,unique_current_alias
BETAGLAS,2014-07-02,2026-08-07,13,0,5052,True,01a054a7-4be2-73d1-8c16-ddc673e9e4fc,unique_current_alias
BOCGAS,2014-06-30,2021-12-07,8,0,2278,True,01a054a7-4be2-7dc2-a1cf-0e6e984c2bf0,unique_current_alias
BUACEMENT,2020-01-09,2026-08-07,7,0,3083,True,01a054a7-4be2-730a-98f8-7faa423489d5,unique_current_alias
BUAFOODS,2022-01-05,2026-08-07,5,0,2116,True,01a054a7-4be2-718d-99af-184ba4b0e5ce,unique_current_alias
CADBURY,2014-06-30,2026-08-07,13,0,5712,True,01a054a7-4be2-77c8-8689-d454ede00b16,unique_current_alias
CAP,2014-06-30,2026-08-07,13,0,5694,True,01a054a7-4be2-741f-8d90-194f43484ac8,unique_current_alias
CAPHOTEL,2014-07-03,2023-10-31,10,0,1122,True,01a054a7-4be2-737e-87a9-bee4fac8c78f,unique_current_alias
CAPOIL,2014-07-16,2020-08-26,7,0,674,True,01a054a7-4be2-74e7-95c0-a5dd82f82c63,unique_current_alias
CAVERTON,2014-06-30,2026-08-07,13,0,5424,True,01a054a7-4be2-7141-8ab2-bba298c787c0,unique_current_alias
